ID,Field of Study,personal interest,Family advice,Consultant's recommendation,Future work and income,Social position,University brand,Near the university,Possibilities,gain experience,interest,Contnuing education,change field,refuse,state1,state2,sex,Employment state,Family Income,Location,start,end
T0Nc,علوم پزشکی، دندان پزشکی و داروسازی,,توصیه خانواده,,,,برند دانشگاه از نظر علمی,نزدیک بودن دانشگاه به محل زندگی,,کسب تجربه یک روند جدید در زندگی,1,1,5,5,هرمزگان,هرمزگان,آقا,غیرشاغل,کمتر از 5 میلیون تومان,روستا,1402/01/15-01:56:11,1402/01/15-01:58:23
Tzkq,فنی و مهندسی,,,توصیه مشاور,آینده کاری و درآمدی,,,,,,5,5,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/15-01:36:02,1402/01/15-01:37:17
wud6,فنی و مهندسی,,,,آینده کاری و درآمدی,,,,,,2,3,5,3,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/15-00:25:12,1402/01/15-00:27:10
AfD3,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,نزدیک بودن دانشگاه به محل زندگی,,کسب تجربه یک روند جدید در زندگی,4,5,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-00:13:55,1402/01/15-00:16:45
gogA,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,,4,4,3,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-00:07:38,1402/01/15-00:09:07
OMdH,فنی و مهندسی,,,,آینده کاری و درآمدی,,,,,,5,1,1,5,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,کمتر از 5 میلیون تومان,روستا,1402/01/15-00:04:41,1402/01/15-00:06:04
EQUt,علوم انسانی,علاقه شخصی,,,,,,,,,5,5,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,روستا,1402/01/15-00:02:19,1402/01/15-00:04:15
PRXG,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,کسب تجربه یک روند جدید در زندگی,5,5,3,1,فارس,خراسان رضوی,خانم,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/14-23:57:04,1402/01/14-23:59:06
6zkg,سایر رشته های علوم پزشکی (غیر پزشکی),,توصیه خانواده,,آینده کاری و درآمدی,,,,,,3,1,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بیش از 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:50:00,1402/01/14-23:51:20
w1JV,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,کسب تجربه یک روند جدید در زندگی,5,5,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/14-23:48:01,1402/01/14-23:49:56
pBhI,فنی و مهندسی,علاقه شخصی,توصیه خانواده,,آینده کاری و درآمدی,,,,,,4,5,3,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/14-23:33:07,1402/01/14-23:35:16
UWqj,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,کسب تجربه یک روند جدید در زندگی,3,1,1,1,البرز,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/14-23:32:03,1402/01/14-23:34:48
ROFw,فنی و مهندسی,,توصیه خانواده,,آینده کاری و درآمدی,,,,,,1,5,1,,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:24:52,1402/01/14-23:26:48
O8cZ,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,کسب تجربه یک روند جدید در زندگی,4,5,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/14-23:24:18,1402/01/14-23:25:42
YGRa,فنی و مهندسی,علاقه شخصی,,,,موقعیت اجتماعی,,,,کسب تجربه یک روند جدید در زندگی,4,3,1,1,گلستان,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:24:12,1402/01/14-23:26:20
V9F9,سایر رشته های علوم پزشکی (غیر پزشکی),,,,آینده کاری و درآمدی,,,,,,5,4,1,1,ایلام,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/14-23:23:24,1402/01/14-23:25:10
bnQG,فنی و مهندسی,,,,آینده کاری و درآمدی,,,,,,1,1,1,4,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:21:42,1402/01/14-23:23:34
epuJ,سایر رشته های علوم پزشکی (غیر پزشکی),,,,آینده کاری و درآمدی,,,,,,5,3,2,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:18:09,1402/01/14-23:19:45
DwlJ,سایر رشته های علوم پزشکی (غیر پزشکی),علاقه شخصی,,,آینده کاری و درآمدی,,,,,,5,3,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,روستا,1402/01/14-23:15:24,1402/01/14-23:17:03
UxNT,سایر رشته های علوم پزشکی (غیر پزشکی),,,,آینده کاری و درآمدی,موقعیت اجتماعی,,نزدیک بودن دانشگاه به محل زندگی,,کسب تجربه یک روند جدید در زندگی,4,5,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:09:55,1402/01/14-23:11:30
4x7r,فنی و مهندسی,,,,,موقعیت اجتماعی,برند دانشگاه از نظر علمی,نزدیک بودن دانشگاه به محل زندگی,,,4,5,3,5,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:09:47,1402/01/14-23:10:51
8pBm,سایر رشته های علوم پزشکی (غیر پزشکی),,,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,کسب تجربه یک روند جدید در زندگی,3,3,3,1,اصفهان,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:07:32,1402/01/14-23:08:57
0SfV,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,,5,3,1,1,خراسان شمالی,خراسان رضوی,آقا,شاغل (تمام وقت),بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-23:05:39,1402/01/14-23:07:21
wFPy,فنی و مهندسی,علاقه شخصی,,توصیه مشاور,,,,نزدیک بودن دانشگاه به محل زندگی,,,3,4,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/14-23:02:22,1402/01/14-23:04:00
1bqx,علوم پزشکی، دندان پزشکی و داروسازی,,,,آینده کاری و درآمدی,,برند دانشگاه از نظر علمی,,امکانات رفاهی دانشگاه (خوابگاه و ...),,4,3,1,1,البرز,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/14-23:01:31,1402/01/14-23:03:08
IOGw,فنی و مهندسی,علاقه شخصی,,,,,,,,,3,1,1,5,خراسان رضوی,خراسان رضوی,خانم,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/14-22:59:55,1402/01/14-23:01:33
NJb5,فنی و مهندسی,,توصیه خانواده,,,,,نزدیک بودن دانشگاه به محل زندگی,,,1,1,5,5,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بیش از 20 میلیون تومان,شهر (مرکز استان),1402/01/14-22:59:45,1402/01/14-23:02:49
nfYV,فنی و مهندسی,,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,3,4,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/14-22:58:37,1402/01/14-23:00:59
mmF8,فنی و مهندسی,علاقه شخصی,,,,,,,,,3,1,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,روستا,1402/01/14-22:56:55,1402/01/14-22:58:00
gWBS,فنی و مهندسی,,توصیه خانواده,,,,,نزدیک بودن دانشگاه به محل زندگی,,,3,3,3,2,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-22:54:31,1402/01/14-22:56:04
BtBs,فنی و مهندسی,,توصیه خانواده,,,,,,,,1,2,5,5,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-22:54:01,1402/01/14-22:55:21
vIDc,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,,5,5,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/14-22:52:13,1402/01/14-22:53:54
NXYE,فنی و مهندسی,,,,آینده کاری و درآمدی,,,,,,3,2,5,1,هرمزگان,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,روستا,1402/01/14-22:50:16,1402/01/14-22:52:10
5jS9,فنی و مهندسی,,,,آینده کاری و درآمدی,,,,,,4,5,1,1,خراسان رضوی,خراسان رضوی,خانم,شاغل (نیمه وقت),بیش از 20 میلیون تومان,شهر (مرکز استان),1402/01/14-22:45:36,1402/01/14-22:47:19
w7Th,فنی و مهندسی,,,,,,,,,کسب تجربه یک روند جدید در زندگی,5,3,1,4,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,روستا,1402/01/14-22:03:45,1402/01/14-22:05:25
WH0r,فنی و مهندسی,علاقه شخصی,,توصیه مشاور,,موقعیت اجتماعی,,نزدیک بودن دانشگاه به محل زندگی,,,3,2,2,3,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-21:37:23,1402/01/14-21:39:18
KEcB,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,3,2,3,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,روستا,1402/01/14-20:56:43,1402/01/14-20:58:16
6Uca,فنی و مهندسی,,,,,موقعیت اجتماعی,,,,,4,5,1,1,خراسان رضوی,خراسان رضوی,خانم,شاغل (نیمه وقت),بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/14-19:21:50,1402/01/14-19:23:27
sd9J,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,1,1,5,چهارمحال و بختیاری,خراسان رضوی,آقا,شاغل (نیمه وقت),بیش از 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-19:19:47,1402/01/14-19:21:58
pmW1,فنی و مهندسی,علاقه شخصی,,,,,,,,کسب تجربه یک روند جدید در زندگی,5,4,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/14-19:11:39,1402/01/14-19:13:55
ZF47,فنی و مهندسی,,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,3,3,4,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/14-19:01:29,1402/01/14-19:03:16
Ci2u,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,4,1,3,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/14-18:59:39,1402/01/14-19:01:10
0SSJ,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,,1,1,5,3,خراسان شمالی,خراسان رضوی,آقا,شاغل (نیمه وقت),بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/14-17:53:59,1402/01/14-17:55:42
m3Xn,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,2,3,2,خراسان رضوی,خراسان رضوی,آقا,شاغل (تمام وقت),بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/14-17:53:07,1402/01/14-17:55:33
svTb,فنی و مهندسی,,,,آینده کاری و درآمدی,,,,,,1,2,4,1,مازندران,مازندران,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-17:47:18,1402/01/14-17:49:45
F8IE,فنی و مهندسی,علاقه شخصی,,توصیه مشاور,آینده کاری و درآمدی,,,نزدیک بودن دانشگاه به محل زندگی,,,5,1,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-16:53:05,1402/01/14-16:54:24
EC8Y,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,کسب تجربه یک روند جدید در زندگی,5,4,1,3,اصفهان,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-16:32:55,1402/01/14-16:34:09
cgfY,علوم پایه,علاقه شخصی,,,,,,,,,1,4,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-16:26:01,1402/01/14-16:27:40
jKMb,فنی و مهندسی,علاقه شخصی,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,5,4,2,2,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-16:20:01,1402/01/14-16:22:03
EqUv,علوم پایه,علاقه شخصی,,,,,,,,,5,5,1,2,گیلان,خراسان رضوی,آقا,غیرشاغل,بیش از 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-16:19:10,1402/01/14-16:21:53
oeEa,فنی و مهندسی,علاقه شخصی,,توصیه مشاور,,,,نزدیک بودن دانشگاه به محل زندگی,,,5,1,3,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-16:12:49,1402/01/14-16:14:41
9xDX,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,,4,3,1,1,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/14-15:51:50,1402/01/14-16:51:35
